Date,000001.SS,HSI,^AORD,^BSESN,^BVSP,^DJI,^FCHI,^FTSE,^GDAXI,^GSPC,^IXIC,^JKSE,^KS11,^MERV,^N225,^NSEI,^STI,^TWII
2025-01-28,,,8644.5,75901.40625,124056.0,44850.3515625,7897.3701171875,8533.900390625,21430.580078125,6067.7001953125,19733.58984375,,,2435629.0,39016.87109375,22957.25,3801.070068359375,
2025-01-29,,,8700.7001953125,76532.9609375,123432.0,44713.51953125,7872.47998046875,8557.7998046875,21637.529296875,6039.31005859375,19632.3203125,,,2545356.0,39414.78125,23163.099609375,,
2025-01-30,,,8806.0,76759.8125,126913.0,44882.12890625,7941.64013671875,8646.900390625,21727.19921875,6071.169921875,19681.75,7073.47802734375,,2599329.0,39513.96875,23249.5,,
2025-01-31,,,8789.7001953125,77500.5703125,126135.0,44544.66015625,7950.169921875,8674.0,21732.05078125,6040.52978515625,19627.439453125,7109.19580078125,2517.3701171875,2564659.0,39572.48828125,23508.400390625,3855.820068359375,
2025-02-03,,,8628.400390625,77186.7421875,125970.0,44421.91015625,7854.919921875,8583.599609375,21428.240234375,5994.56982421875,19391.9609375,7030.05810546875,2453.949951171875,2484136.0,38520.08984375,23361.05078125,3826.469970703125,22694.7109375
2025-02-04,,,8633.400390625,78583.8125,125147.0,44556.0390625,7906.39990234375,8570.7998046875,21505.69921875,6037.8798828125,19654.01953125,7073.458984375,2481.68994140625,2523647.0,38798.37109375,23739.25,3823.010009765625,22793.9609375
2025-02-05,3229.488037109375,,8683.400390625,78271.28125,125534.0,44873.28125,7891.68017578125,8623.2998046875,21585.9296875,6061.47998046875,19692.330078125,7024.22802734375,2509.27001953125,2477714.0,38831.48046875,23696.30078125,3815.3701171875,23161.580078125
2025-02-06,3270.658935546875,,8785.099609375,78058.15625,126225.0,44747.62890625,8007.6201171875,8727.2998046875,21902.419921875,6083.56982421875,19791.990234375,6875.5361328125,2536.75,2503483.0,39066.53125,23603.349609375,3830.419921875,23316.599609375
2025-02-07,3303.6669921875,,8780.2998046875,77860.1875,124619.0,44303.3984375,7973.02978515625,8700.5,21787.0,6025.990234375,19523.400390625,6742.576171875,2521.919921875,2416382.0,38787.01953125,23559.94921875,3861.419921875,23478.26953125
2025-02-10,3322.169921875,,8747.599609375,77311.796875,125572.0,44470.41015625,8006.22021484375,8767.7998046875,21911.740234375,6066.43994140625,19714.26953125,6648.14208984375,2521.27001953125,2391368.0,38801.171875,23381.599609375,3875.1298828125,23252.140625
2025-02-11,3318.056884765625,,8751.599609375,76293.6015625,126522.0,44593.6484375,8028.89990234375,8777.400390625,22037.830078125,6068.5,19643.859375,6531.990234375,2539.050048828125,2273568.0,,23071.80078125,3860.760009765625,23384.05078125
2025-02-12,3346.385009765625,,8799.599609375,76171.078125,124380.0,44368.55859375,8042.18994140625,8807.400390625,22148.029296875,6051.97021484375,19649.94921875,6645.77783203125,2548.389892578125,2285846.0,38963.69921875,23045.25,3874.6201171875,23289.75
2025-02-13,3332.48291015625,,8804.2001953125,76138.96875,124850.0,44711.4296875,8164.10986328125,8764.7001953125,22612.01953125,6115.06982421875,19945.640625,6613.56787109375,2583.169921875,2353744.0,39461.46875,23031.400390625,3882.580078125,23399.41015625
2025-02-14,3346.72412109375,,8825.099609375,75939.2109375,128219.0,44546.078125,8178.5400390625,8732.5,22513.419921875,6114.6298828125,20026.76953125,6638.458984375,2591.050048828125,2387386.0,39149.4296875,22929.25,3877.5,23152.609375
2025-02-17,3355.830078125,,8811.900390625,75996.859375,128869.0,,8189.1298828125,8768.0,22798.08984375,,,6830.8818359375,2610.419921875,2254189.0,39174.25,22959.5,3904.85009765625,23505.330078125
2025-02-18,3324.490966796875,,8756.7001953125,75967.390625,128532.0,44556.33984375,8206.5595703125,8766.7001953125,22844.5,6129.580078125,20041.259765625,6873.55419921875,2626.81005859375,2391725.0,39270.3984375,22945.30078125,3925.56005859375,23666.109375
2025-02-19,3351.5390625,,8699.099609375,75939.1796875,127309.0,44627.58984375,8110.5400390625,8712.5,22433.630859375,6144.14990234375,20056.25,6794.8681640625,2671.52001953125,2401580.0,39164.609375,22932.900390625,3934.0400390625,23604.080078125
2025-02-20,3350.782958984375,,8601.7001953125,75735.9609375,127601.0,44176.6484375,8122.580078125,8663.0,22314.650390625,6117.52001953125,19962.359375,6788.0419921875,2654.06005859375,2410221.0,38678.0390625,22913.150390625,3927.510009765625,23487.4609375
2025-02-21,3379.113037109375,,8570.900390625,75311.0625,127128.0,43428.01953125,8154.509765625,8659.400390625,22287.560546875,6013.1298828125,19524.009765625,6803.0009765625,2654.580078125,2364529.0,38776.94140625,22795.900390625,3929.93994140625,23730.25
